"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","Info"
"1","0.000000","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","414","105","RPL Control (DODAG Information Object)"
"3","0.104906","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","804","177","RPL Control (DODAG Information Object)"
"4","0.180451","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","106","RPL Control (Destination Advertisement Object)"
"6","0.840142","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","76","","178","RPL Control (Destination Advertisement Object)"
"8","0.885066","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","70","RPL Control (Destination Advertisement Object)"
"10","3.285099","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","740","179","RPL Control (DODAG Information Object)"
"12","3.375250","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","65535","107","RPL Control (DODAG Information Object)"
"13","3.420207","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","71","RPL Control (Destination Advertisement Object)"
"15","3.825213","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","12","RPL Control (DODAG Information Object)"
"16","3.960043","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","27","","72","RPL Control (DODAG Information Solicitation)"
"17","6.480581","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","1368","73","RPL Control (DODAG Information Object)"
"18","6.690187","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","396","108","RPL Control (DODAG Information Object)"
"19","6.735542","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","76","","74","RPL Control (Destination Advertisement Object)"
"21","6.736161","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","76","","181","RPL Control (Destination Advertisement Object)"
"23","6.764909","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","75","RPL Control (Destination Advertisement Object)"
"25","6.825709","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","109","RPL Control (Destination Advertisement Object)"
"27","7.305309","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","110","RPL Control (Destination Advertisement Object)"
"29","10.275549","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","13","RPL Control (DODAG Information Object)"
"30","10.335139","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","76","","182","RPL Control (Destination Advertisement Object)"
"32","10.740582","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","76","RPL Control (Destination Advertisement Object)"
"34","10.741207","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","111","RPL Control (Destination Advertisement Object)"
"36","11.295458","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","183","RPL Control (Destination Advertisement Object)"
"38","13.755811","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","448","184","RPL Control (DODAG Information Object)"
"39","13.794358","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","546","77","RPL Control (DODAG Information Object)"
"40","13.794464","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","448","184","RPL Control (DODAG Information Object)"
"42","14.345791","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","448","185","RPL Control (DODAG Information Object)"
