"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","DODAGID","Info"
"1","0.000000","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","27","","13","","RPL Control (DODAG Information Solicitation)"
"2","2.219759","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","460","233","","RPL Control (DODAG Information Object)"
"3","2.429540","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","60","","RPL Control (DODAG Information Object)"
"4","2.505736","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","76","","14","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"5","2.506132","","","IEEE 802.15.4","5","","14","","Ack"
"6","2.819322","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","512","15","","RPL Control (DODAG Information Object)"
"7","2.819491","","","IEEE 802.15.4","5","","15","","Ack"
"8","4.034390","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","260","84","","RPL Control (DODAG Information Object)"
"9","4.170910","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","448","16","","RPL Control (DODAG Information Object)"
"10","4.171392","","","IEEE 802.15.4","5","","16","","Ack"
"11","4.455925","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","448","17","","RPL Control (DODAG Information Object)"
"12","6.164777","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","18","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"13","6.165356","","","IEEE 802.15.4","5","","18","","Ack"
"14","6.390295","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","400","19","","RPL Control (DODAG Information Object)"
"15","6.390735","","","IEEE 802.15.4","5","","19","","Ack"
"16","7.499954","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","85","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"17","7.500367","","","IEEE 802.15.4","5","","85","","Ack"
"18","9.479955","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","259","86","","RPL Control (DODAG Information Object)"
"19","9.900133","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","234","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"20","9.900736","","","IEEE 802.15.4","5","","234","","Ack"
"21","9.945660","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","87","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"22","9.946045","","","IEEE 802.15.4","5","","87","","Ack"
"23","12.075263","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","61","","RPL Control (DODAG Information Object)"
"24","12.195263","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","450","235","","RPL Control (DODAG Information Object)"
"25","12.615432","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","450","236","","RPL Control (DODAG Information Object)"
"26","12.615607","","","IEEE 802.15.4","5","","236","","Ack"
